-1000	-1000	1000
0	0	0
10000	0	1
10000	200	1
0	200	1
0	400	1
10000	400	1
10000	600	1
0	600	1
0	800	1
10000	800	1
10000	1000	1
0	1000	1
0	1200	1
10000	1200	1
10000	1400	1
0	1400	1
0	1600	1
10000	1600	1
10000	1800	1
0	1800	1
0	2000	1
10000	2000	1
10000	2200	1
0	2200	1
0	2400	1
10000	2400	1
10000	2600	1
0	2600	1
0	2800	1
10000	2800	1
10000	3000	1
0	3000	1
0	3200	1
10000	3200	1
10000	3400	1
0	3400	1
0	3600	1
10000	3600	1
10000	3800	1
0	3800	1
0	4000	1
10000	4000	1
10000	4200	1
0	4200	1
0	4400	1
10000	4400	1
10000	4600	1
0	4600	1
0	4800	1
10000	4800	1
10000	5000	1
0	5000	1
0	5200	1
10000	5200	1
10000	5400	1
0	5400	1
0	5600	1
10000	5600	1
10000	5800	1
0	5800	1
0	6000	1
10000	6000	1
10000	6200	1
0	6200	1
0	6400	1
10000	6400	1
10000	6600	1
0	6600	1
0	6800	1
10000	6800	1
10000	7000	1
0	7000	1
0	7200	1
10000	7200	1
10000	7400	1
0	7400	1
0	7600	1
10000	7600	1
10000	7800	1
0	7800	1
0	8000	1
10000	8000	1
10000	8200	1
0	8200	1
0	8400	1
10000	8400	1
10000	8600	1
0	8600	1
0	8800	1
10000	8800	1
10000	9000	1
0	9000	1
0	9200	1
10000	9200	1
10000	9400	1
0	9400	1
0	9600	1
10000	9600	1
10000	9800	1
0	9800	1
0	10000	1
10000	10000	1
